,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
TdctP2_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EpheS_enzyme_forward_efficiency,0.32049357891082764,11570.1557,0.01,115.701557,0.3204974670777574,0.3204896055063955,7.861571361900133e-06,3.3973489924168144e-08,0.001226478762634975
Epgk_enzyme_forward_efficiency,0.32049357891082764,165388.4105,0.01,1653.884105,0.32050402835945135,0.320482957695134,2.1070664317335286e-05,6.370054665146953e-09,0.003287220977865187
EhemH_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Endk2_enzyme_backward_efficiency,0.32049357891082764,751.3702,0.01,7.513701999999999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EdapL_enzyme_backward_efficiency,0.32049357891082764,105498.406,0.01,1054.98406,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ebkd1_enzyme_forward_efficiency,0.32049357891082764,645.528,0.01,6.45528,0.32049406493169386,0.32049304402946177,1.0209022320850636e-06,7.907497676979648e-08,0.00015927030980691093
Tcys_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
TdctP1_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EansA_enzyme_forward_efficiency,0.32049357891082764,1842260.4585,0.01,18422.604585,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpupG3_enzyme_forward_efficiency,0.32049357891082764,19760.0428,0.01,197.600428,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpanD_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
TchaA_enzyme_backward_efficiency,0.32049357891082764,1109.399,0.01,11.09399,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Egnd_enzyme_backward_efficiency,0.32049357891082764,49342.6624,0.01,493.426624,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmetE_enzyme_backward_efficiency,0.32049357891082764,1234.8796,0.01,12.348796,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EansB_enzyme_backward_efficiency,0.32049357891082764,1508369.3927,0.01,15083.693927,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Egmk2_enzyme_backward_efficiency,0.32049357891082764,22124.2823,0.01,221.242823,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EtreA_enzyme_forward_efficiency,0.32049357891082764,8464.7729,0.01,84.647729,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EpurEK_enzyme_backward_efficiency,0.32049357891082764,20943.4112,0.01,209.434112,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tno3_efficiency,0.32049357891082764,0.0,0.01,0.0,0.32049357891082764,0.32049357891082764,0.0,,0.0
EyutJ_enzyme_forward_efficiency,0.32049357891082764,1967778.3334,0.01,19677.783334,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,3.999817934938349e-12,2.4558230141972138e-05
EmenF_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.01,199.781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
