,Mu_WT,WT_param_value,Relative_param_change,Absolute_param_change,Upper_Mu,Lower_Mu,Mu_change,Absolute_Sensitivity,Scaled_Sensitivity
EytxM_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tqox_enzyme_backward_efficiency,0.32049357891082764,2818761.5725,0.001,2818.7615725,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EluxS_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
ElysS_enzyme_backward_efficiency,0.32049357891082764,11643.0028,0.001,11.6430028,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Esuc_enzyme_backward_efficiency,0.32049357891082764,43901.349,0.001,43.901349,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EhisD2_enzyme_backward_efficiency,0.32049357891082764,103914.3199,0.001,103.91431990000001,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EilvBH2_enzyme_forward_efficiency,0.32049357891082764,119460.3057,0.001,119.4603057,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,6.588594448839095e-10,0.00024558230141972137
EilvE1_enzyme_forward_efficiency,0.32049357891082764,786035.0071,0.001,786.0350071,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Edxs_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EspeE_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EtyrA_enzyme_backward_efficiency,0.32049357891082764,103873.6798,0.001,103.8736798,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EispA1_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EmtnD_enzyme_backward_efficiency,0.32049357891082764,511.6565,0.001,0.5116565,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EthiF_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EracE_enzyme_forward_efficiency,0.32049357891082764,73749.0733,0.001,73.7490733,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Endk2_enzyme_forward_efficiency,0.32049357891082764,751.3702,0.001,0.7513702,0.32049365991430534,0.32049350249920394,1.5741510139832826e-07,1.0475202596425055e-07,0.00024558230141972137
Egdp_enzyme_backward_efficiency,0.32049357891082764,61526.7433,0.001,61.5267433,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EcoaBC1_enzyme_forward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EefeM_enzyme_backward_efficiency,0.32049357891082764,19978.1145,0.001,19.9781145,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EilvE2_enzyme_backward_efficiency,0.32049357891082764,846320.5907,0.001,846.3205906999999,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Ecmk3_enzyme_backward_efficiency,0.32049357891082764,2688.0632,0.001,2.6880632,0.32049357891082764,0.32049350249920394,7.641162369509402e-08,1.4213137491539265e-08,0.00011920928955078125
EycgT_enzyme_backward_efficiency,0.32049357891082764,3392.0008,0.001,3.3920008,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EaroK_enzyme_forward_efficiency,0.32049357891082764,224472.7375,0.001,224.4727375,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Tsul_enzyme_backward_efficiency,0.32049357891082764,2838989.867,0.001,2838.9898670000002,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
Easd_enzyme_backward_efficiency,0.32049357891082764,18147.5289,0.001,18.1475289,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
EsodA_enzyme_forward_efficiency,0.32049357891082764,2734.5064,0.001,2.7345064000000003,0.320495117976904,0.32049197426673004,3.143710173958425e-06,5.748222373804692e-07,0.0049044823060762684
EilvC2_enzyme_backward_efficiency,0.32049357891082764,4921.3273,0.001,4.9213273,0.32049357891082764,0.32049357891082764,0.0,0.0,0.0
